chr	height	start	end	numtags	max_ht_offset
10	46	142456	143253	74	414
10	30	302744	303395	44	405
10	12	389895	390540	23	338
10	13	729167	729993	27	371
10	14	1023827	1024778	28	539
10	12	1083937	1085837	70	1186
10	11	1092125	1093202	30	581
10	30	1301013	1301397	36	171
10	31	1390001	1392080	94	1716
10	29	1986088	1987012	76	494
10	12	1997400	1997797	16	118
10	26	2000462	2001981	63	571
10	19	2010525	2011857	56	586
10	24	2144017	2144935	55	426
10	14	2171412	2172556	46	599
10	12	2182146	2182865	22	480
10	25	2245981	2247734	77	441
10	16	2496513	2497185	30	294
10	15	2503789	2504905	48	645
10	22	2507958	2509013	40	769
10	14	2579652	2580718	42	260
10	25	2650946	2652697	83	1351
10	26	2799212	2799969	45	442
10	13	2960335	2961000	31	256
10	13	3010212	3011018	26	172
10	126	3017841	3018963	215	462
10	15	3075551	3076161	26	302
10	13	3123107	3124373	39	194
10	14	3127098	3128536	40	830
10	24	3203992	3204860	49	484
10	403	3228597	3230985	695	1066
10	14	3258950	3260283	39	1186
10	11	3271752	3272200	20	214
10	32	3345890	3346348	44	231
10	41	3457745	3458964	77	733
10	24	3498923	3500917	91	807
10	14	3514117	3515181	35	615
10	12	3557927	3558590	28	313
10	21	3570619	3571692	41	876
10	20	3700373	3701064	49	311
10	12	3740844	3741492	31	343
10	32	3752431	3753104	53	452
10	13	3780073	3780494	18	274
10	44	3808469	3809811	97	923
10	14	3814791	3816685	74	1492
10	23	3837229	3839765	91	991
10	225	3842052	3842972	341	427
10	17	3857167	3858095	49	488
10	13	3860752	3861304	23	338
10	17	3883687	3885295	73	909
10	12	3922028	3923151	34	384
10	14	3923230	3924076	21	168
10	20	4134863	4136414	88	425
10	21	4143832	4144398	31	135
10	14	4163127	4164374	38	610
10	13	4292338	4293080	28	564
10	12	4312660	4313271	20	263
10	29	4376498	4377156	67	457
10	13	4385906	4387205	64	429
10	19	4387314	4388521	47	446
10	25	4411870	4412584	42	376
10	16	4573152	4573881	23	434
10	12	4688841	4689121	13	133
10	24	4694902	4695885	52	566
10	16	4736320	4736843	30	235
10	15	4881641	4882474	27	362
10	13	4979031	4980315	48	994
10	13	5013569	5014795	30	866
10	12	5057513	5058176	25	145
10	11	5065589	5066109	21	176
10	15	5103166	5104552	47	864
10	13	5126346	5127246	36	290
10	17	5180433	5180817	20	135
10	27	5200899	5201407	41	211
10	13	5323289	5324811	49	794
10	11	5329173	5329895	21	413
10	13	5443834	5444776	26	441
10	683	5461178	5461677	688	82
10	51	5477861	5478981	95	582
10	12	5498380	5499022	28	141
10	17	5577381	5578625	41	640
10	12	5578731	5579585	32	269
10	24	5580136	5581559	56	937
10	11	5582198	5582500	13	84
10	17	5616728	5617803	47	282
10	13	5677803	5678283	20	333
10	24	5678972	5679901	65	443
10	24	5691750	5692432	39	378
10	17	5693791	5694724	36	235
10	16	5705021	5705566	26	210
10	11	5894598	5896419	44	1323
10	74	6052901	6053632	110	464
10	18	6170456	6172218	71	357
10	19	6239038	6240112	57	436
10	21	6245346	6246460	56	549
10	16	6284360	6285855	47	377
10	20	6320546	6321746	36	791
10	12	6357033	6357624	25	420
10	81	6374399	6375271	132	401
10	13	6378313	6378929	20	261
10	13	6428374	6429078	27	362
10	14	6483535	6484035	24	353
10	11	6488114	6488501	14	240
10	12	6498937	6499255	14	125
10	12	6751224	6751638	15	187
10	27	6803255	6803814	41	334
10	69	6803865	6805179	111	434
10	16	6818520	6819639	38	728
10	12	6830932	6831656	24	145
10	16	6860922	6861700	27	228
10	61	6993877	6995645	147	341
10	14	7193449	7194029	28	237
10	21	7203167	7203648	31	206
10	23	7235319	7236086	33	571
10	19	7342188	7343237	39	536
10	17	7346281	7347684	50	403
10	20	7382294	7383792	56	1208
10	32	7383840	7385071	72	745
10	20	7393139	7394386	63	355
10	76	7396090	7396717	109	334
10	19	7436553	7437216	35	286
10	51	7491137	7492694	117	683
10	11	7496557	7497007	15	303
10	11	7497009	7497478	17	211
10	12	7769188	7769577	15	146
10	16	7899909	7900681	33	402
10	11	7962098	7962892	23	426
10	11	8176166	8176647	16	196
10	34	8722420	8722644	35	77
10	11	8858975	8859403	13	142
10	12	10407953	10408652	20	283
10	12	10477152	10477669	15	257
10	11	11598152	11598520	13	221
10	12	11634066	11634451	14	238
10	18	11737857	11738405	27	175
10	13	11807178	11807627	16	140
10	88	11891987	11893173	158	520
10	228	11956268	11957402	383	551
10	33	11957413	11958347	63	539
10	13	11963224	11964678	43	1023
10	15	11968776	11969767	32	331
10	27	11979854	11980949	62	565
10	13	12124643	12125784	41	830
10	14	12277053	12278663	53	1157
10	59	12328213	12329077	104	497
10	14	12346157	12346803	23	207
10	26	12415100	12416653	82	1142
10	34	12530416	12531225	57	466
10	21	12551309	12552358	37	301
10	14	12582104	12583333	48	952
10	11	12793163	12793453	12	143
