name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount
NR_024540	chr1	-	4224	19233	19233	19233	11
NM_001005484	chr1	+	58953	59871	58953	59871	1
NM_001005277	chr1	+	357521	358460	357521	358460	1
NM_001005221	chr1	+	357521	358460	357521	358460	1
NM_001005224	chr1	+	357521	358460	357521	358460	1
NM_001005277	chr1	-	610958	611897	610958	611897	1
NM_001005221	chr1	-	610958	611897	610958	611897	1
NM_001005224	chr1	-	610958	611897	610958	611897	1
NR_024321	chr1	-	751449	752765	752765	752765	1
NR_015368	chr1	+	752926	779603	779603	779603	7
NM_152486	chr1	+	850983	869824	851184	869396	14
NM_015658	chr1	-	869445	884542	869936	884483	19
NM_198317	chr1	+	885829	890958	885936	890434	12
NM_032129	chr1	+	891739	900347	891774	899818	16
NM_021170	chr1	-	924205	925415	924301	925216	4
NM_001142467	chr1	-	924207	925415	924301	925216	3
NM_005101	chr1	+	938709	939782	938816	939721	2
NM_198576	chr1	+	945365	981355	945415	980224	36
NM_017891	chr1	-	1007060	1041599	1008135	1016786	10
NM_001130045	chr1	+	1099148	1123176	1104458	1123090	16
NM_153254	chr1	+	1104939	1111106	1105296	1110385	9
NM_004195	chr1	-	1128750	1131952	1129086	1131814	5
NM_148902	chr1	-	1128750	1131952	1129086	1131814	5
NM_148901	chr1	-	1128750	1131952	1128833	1131814	4
NM_003327	chr1	-	1136568	1139375	1136797	1139370	7
NM_016547	chr1	-	1142150	1157310	1142912	1154036	7
NM_016176	chr1	-	1142150	1157310	1142754	1154036	7
NM_080605	chr1	+	1157491	1160283	1157521	1158511	1
NM_001014980	chr1	-	1167695	1171965	1167790	1171933	8
NM_194458	chr1	-	1179154	1199097	1180445	1188604	7
NM_194457	chr1	-	1179154	1199097	1180445	1188604	6
NM_058167	chr1	-	1179154	1199097	1180445	1193235	7
NM_194315	chr1	-	1179154	1199097	1180445	1193235	8
NM_001130413	chr1	+	1207351	1217272	1207501	1216853	15
NM_002978	chr1	+	1207438	1217272	1209267	1216853	14
NM_030649	chr1	-	1217626	1233132	1218806	1233058	24
NM_153339	chr1	+	1233856	1236920	1233886	1236622	8
NM_017871	chr1	-	1236827	1249909	1237101	1249851	17
NM_001029885	chr1	+	1250005	1254139	1252153	1253006	3
NM_152228	chr1	+	1256588	1259707	1256588	1259707	6
NM_004421	chr1	-	1260520	1274355	1261384	1274308	15
NM_032348	chr1	-	1277933	1283778	1278846	1283747	10
NM_017900	chr1	-	1298972	1300681	1299043	1299999	4
NM_001127229	chr1	-	1298972	1300443	1299043	1299999	4
NM_001127230	chr1	-	1298973	1300425	1299043	1299999	4
NM_030937	chr1	-	1310953	1324553	1312473	1324549	11
NM_001039577	chr1	-	1310953	1324552	1318024	1324549	13
NR_015434	chr1	+	1324772	1327288	1327288	1327288	3
NM_017971	chr1	-	1327138	1332556	1327325	1332460	4
NM_199121	chr1	+	1360771	1366009	1364328	1365030	3
NM_022834	chr1	+	1360771	1366009	1360991	1365030	3
NM_001039211	chr1	+	1374931	1395401	1375926	1393773	12
NM_031921	chr1	+	1397026	1421445	1397127	1421060	16
NM_018188	chr1	+	1437417	1459927	1437511	1459315	16
NM_001114748	chr1	-	1460020	1465603	1460601	1465589	4
NM_014188	chr1	-	1466915	1500125	1467308	1499800	5
NM_080875	chr1	+	1540746	1555848	1540873	1555773	20
NM_006983	chr1	+	1557422	1559893	1557460	1559864	8
NR_002946	chr1	+	1558021	1559890	1559890	1559890	6
NM_033493	chr1	-	1560962	1645635	1560988	1644117	20
NM_033492	chr1	-	1560962	1645635	1560988	1644117	20
NM_033489	chr1	-	1560962	1645635	1560988	1643895	21
NM_033488	chr1	-	1560962	1645635	1560988	1643895	21
NM_033487	chr1	-	1560962	1645635	1560988	1567211	18
NM_033486	chr1	-	1560962	1645635	1560988	1644117	20
NM_001110781	chr1	-	1582801	1614103	1587083	1598001	9
NR_002946	chr1	+	1621237	1623107	1623107	1623107	6
NM_033529	chr1	-	1624029	1645651	1624205	1644117	20
NM_024011	chr1	-	1624029	1645651	1624205	1644117	20
NM_182838	chr1	-	1653540	1667291	1653753	1660856	6
NM_023018	chr1	-	1672530	1699769	1674202	1686705	12
NM_002074	chr1	-	1706588	1812355	1708629	1746752	12
NM_138705	chr1	+	1836125	1838593	1836579	1838492	6
NM_178545	chr1	-	1838888	1840600	1839180	1840564	5
NM_001003808	chr1	-	1843255	1849228	1843585	1847183	10
NM_001080484	chr1	-	1874611	1925136	1876876	1912255	18
NM_000815	chr1	+	1940627	1952052	1940722	1951581	9
NM_002744	chr1	+	1971768	2106694	1971929	2106308	18
NM_001033581	chr1	+	1994945	2106694	2065637	2106308	15
NM_001033582	chr1	+	2026014	2106694	2065637	2106308	15
NR_024445	chr1	-	2110341	2114884	2114884	2114884	1
NM_182533	chr1	-	2110847	2116074	2111007	2116048	4
NM_003036	chr1	+	2149993	2231416	2150065	2228064	7
NM_024848	chr1	-	2242555	2312853	2242681	2312832	14
NR_024489	chr1	-	2271715	2273960	2273960	2273960	1
NM_007033	chr1	+	2313073	2326734	2317089	2324423	7
NM_002617	chr1	-	2326100	2333870	2327064	2333801	6
NM_153818	chr1	-	2326100	2333870	2327064	2333801	6
NM_014638	chr1	+	2397613	2426824	2397887	2426512	22
NM_018216	chr1	-	2429834	2447895	2430145	2447886	19
NM_001010926	chr1	-	2450045	2451544	2450767	2451463	3
NM_003820	chr1	-	2479150	2486613	2479705	2486314	8
NM_152371	chr1	+	2508108	2512762	2508184	2510726	7
NM_033467	chr1	-	2511940	2554289	2512288	2550756	24
NM_080431	chr1	+	2927905	2929327	2928110	2929244	1
NR_015440	chr1	-	2966040	2974149	2974149	2974149	6
NR_024371	chr1	-	2970495	2974149	2974149	2974149	2
NM_199454	chr1	+	2975603	3345045	2975683	3340235	17
NM_022114	chr1	+	2975603	3345045	2975683	3340235	17
NM_014448	chr1	+	3361006	3387537	3369508	3387011	15
